id,intervention,intervention_subtype,dv1_pre_sum_score,dv1_post_sum_score,dv1_followup_sum_score,dv2_pre_sum_score,dv2_post_sum_score,dv2_followup_sum_score,dv3_pre_sum_score,dv3_post_sum_score,dv3_followup_sum_score,dv1_pre_1,dv1_pre_2,dv1_pre_3,dv1_pre_4,dv1_pre_5,dv1_pre_6,dv1_pre_7,dv1_pre_8,dv1_pre_9,dv1_pre_10,dv1_pre_11,dv1_pre_12,dv1_post_1,dv1_post_2,dv1_post_3,dv1_post_4,dv1_post_5,dv1_post_6,dv1_post_7,dv1_post_8,dv1_post_9,dv1_post_10,dv1_post_11,dv1_post_12,dv1_followup_1,dv1_followup_2,dv1_followup_3,dv1_followup_4,dv1_followup_5,dv1_followup_6,dv1_followup_7,dv1_followup_8,dv1_followup_9,dv1_followup_10,dv1_followup_11,dv1_followup_12,dv2_pre_1,dv2_pre_2,dv2_pre_3,dv2_pre_4,dv2_pre_5,dv2_pre_6,dv2_pre_7,dv2_pre_8,dv2_pre_9,dv2_pre_10,dv2_pre_11,dv2_pre_12,dv2_post_1,dv2_post_2,dv2_post_3,dv2_post_4,dv2_post_5,dv2_post_6,dv2_post_7,dv2_post_8,dv2_post_9,dv2_post_10,dv2_post_11,dv2_post_12,dv2_followup_1,dv2_followup_2,dv2_followup_3,dv2_followup_4,dv2_followup_5,dv2_followup_6,dv2_followup_7,dv2_followup_8,dv2_followup_9,dv2_followup_10,dv2_followup_11,dv2_followup_12,dv3_followup_1,dv3_pre_1,dv3_pre_2,dv3_pre_3,dv3_pre_4,dv3_pre_5,dv3_pre_6,dv3_pre_7,dv3_pre_8,dv3_pre_9,dv3_pre_10,dv3_pre_11,dv3_pre_12,dv3_post_1,dv3_post_2,dv3_post_3,dv3_post_4,dv3_post_5,dv3_post_6,dv3_post_7,dv3_post_8,dv3_post_9,dv3_post_10,dv3_post_11,dv3_post_12,dv3_followup_2,dv3_followup_3,dv3_followup_4,dv3_followup_5,dv3_followup_6,dv3_followup_7,dv3_followup_8,dv3_followup_9,dv3_followup_10,dv3_followup_11,dv3_followup_12
1,Standard,,77,62,66,37,38,63,37,37,63,7,6,7,7,7,6,7,6,7,4,7,6,6,6,6,6,6,6,1,4,4,6,7,4,6,6,7,7,7,4,1,6,6,5,6,5,3,3,4,2,2,4,2,2,4,4,3,4,3,3,4,2,2,4,2,3,4,4,3,4,5,4,4,7,6,4,6,6,4,6,7,4,5,3,3,4,2,2,4,2,2,4,4,3,4,3,3,4,2,2,4,2,3,4,3,3,4,4,4,7,6,4,6,6,4,6,7,4
2,Standard,,71,81.81818182,67,45.81818182,43,50,42.54545455,45,48,5,6,7,6,6,6,5,5,6,6,7,6,7,7,7,6,7,7,NA,7,7,7,7,6,4,7,6,5,6,6,5,5,5,6,6,6,6,3,4,6,3,3,4,4,4,NA,1,4,4,3,3,4,3,3,3,4,3,5,5,3,4,4,3,3,3,3,5,5,5,5,5,5,4,4,3,5,4,3,5,2,4,4,NA,1,4,4,3,3,4,3,5,3,3,4,5,5,3,3,5,3,5,5,3,4,4,4,4,4
3,Standard,Enhancement 2,67,77,76,59,62.18181818,44,59,62.18181818,45,6,6,7,6,7,6,6,2,6,2,7,6,6,7,6,6,6,7,5,6,7,7,7,7,4,7,6,7,7,7,4,6,7,7,7,7,6,3,6,3,5,6,4,6,5,6,5,4,6,3,6,3,6,6,4,6,6,NA,6,5,3,4,6,5,1,6,4,2,5,2,3,3,3,6,3,6,3,5,6,4,6,5,6,5,4,6,3,6,3,6,6,4,NA,6,6,6,5,4,6,5,2,6,4,2,5,2,3,3
4,Standard,Enhancement 2,70,59,NA,37,49.09090909,NA,44,40.36363636,NA,6,4,7,6,6,6,6,7,7,3,6,6,3,4,6,5,7,6,3,5,6,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,6,4,3,1,3,2,2,2,4,3,5,5,NA,6,4,3,5,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,3,4,4,4,2,5,3,4,4,2,2,NA,5,6,6,2,2,6,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Standard,Enhancement 2,79,74,70,51,57.81818182,45,54,54.66666667,41,7,6,7,6,7,6,7,7,7,6,7,6,4,7,7,7,7,7,4,5,6,6,7,7,5,5,7,4,7,7,3,6,6,6,7,7,5,6,4,4,6,4,4,4,3,3,4,4,6,6,4,4,NA,5,4,5,5,5,4,5,3,4,4,3,3,5,4,4,4,3,4,4,2,6,6,4,4,6,4,4,4,4,4,4,4,NA,NA,4,4,NA,5,4,5,5,5,4,5,3,4,3,3,5,4,4,4,3,3,3
6,Standard,Enhancement 1,72,75,74,47,43,55,44,42,56.72727273,7,4,7,7,7,7,7,7,7,1,4,7,7,7,7,2,7,7,3,7,7,7,7,7,7,7,7,2,7,7,2,7,7,7,7,7,4,2,4,5,6,4,3,1,6,3,4,5,4,3,3,5,2,4,3,3,6,3,4,3,4,5,3,5,6,4,5,6,6,4,3,4,3,4,4,3,5,2,4,3,3,5,3,4,4,4,3,3,5,2,4,3,2,6,2,4,4,5,4,5,6,NA,4,6,6,5,4,4
7,Standard,,65,72,NA,54,55,NA,55,55,NA,5,5,7,2,6,6,7,6,7,2,6,6,7,6,6,6,6,6,5,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,3,5,4,5,3,5,6,3,4,5,5,4,3,4,5,5,5,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,4,5,5,5,6,3,4,5,5,4,3,4,5,5,5,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,New,Enhancement 2,57,63,55,60,63.27272727,45,61.33333333,66,49,4,4,6,4,5,4,7,6,6,2,5,4,6,7,6,3,5,5,4,4,5,6,6,6,4,5,5,4,5,5,3,4,5,5,5,5,NA,4,5,6,6,5,3,4,6,5,6,NA,NA,6,6,4,5,6,3,6,6,5,5,6,1,3,5,6,3,5,5,5,5,2,4,1,1,NA,NA,6,4,6,6,3,4,6,5,6,NA,NA,6,6,4,6,6,3,6,7,6,5,NA,3,7,6,3,7,6,2,7,2,4,1
9,New,Enhancement 1,39,31,41,28,28,57,28,28,57,1,2,7,1,3,1,7,6,3,1,6,1,3,6,3,1,1,1,1,1,6,1,6,1,5,7,6,1,2,3,1,1,5,2,3,5,6,6,2,2,2,2,1,1,2,2,1,1,6,6,2,2,2,2,1,1,2,2,1,1,2,2,2,7,7,1,7,7,1,7,7,7,2,6,6,2,2,2,2,1,1,2,2,1,1,6,6,2,2,2,2,1,1,2,2,1,1,2,2,7,7,1,7,7,1,7,7,7
10,Standard,Enhancement 1,72,64,56,53,56,51,54,56,50,5,5,7,6,6,5,7,6,7,5,7,6,6,6,6,6,6,5,3,5,6,5,5,5,5,5,4,6,5,4,3,4,5,5,5,5,4,4,5,4,3,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,3,4,5,5,4,5,5,3,5,4,4,4,4,4,4,5,4,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,3,5,4,4,5,4,4,5,4,4,4
11,New,,79,78,79,61.2,65.45454545,40,60,66,40,5,6,7,7,7,7,7,7,7,5,7,7,4,7,7,7,7,7,4,7,7,7,7,7,4,7,7,7,7,7,5,7,7,7,7,7,6,3,7,3,6,7,5,5,4,NA,5,NA,6,3,7,4,6,7,5,6,5,5,6,NA,2,5,7,4,2,7,1,2,5,1,3,1,2,6,3,7,3,5,6,5,5,4,NA,5,6,6,3,7,4,6,7,5,6,5,NA,6,NA,5,7,4,2,7,1,1,5,1,3,2
12,New,Enhancement 2,75,67,72,62.4,63,40,62.4,63,49,7,7,7,1,7,7,7,7,7,4,7,7,4,5,7,7,7,7,1,7,1,7,7,7,3,7,6,7,7,7,5,7,6,5,7,5,4,5,5,4,NA,5,4,6,7,6,NA,6,4,5,5,NA,NA,7,4,6,7,NA,NA,4,4,3,5,3,1,5,4,2,7,1,1,4,4,4,5,5,4,NA,5,4,6,7,6,NA,6,4,5,5,NA,NA,7,4,6,7,NA,NA,4,4,5,4,1,7,4,4,7,4,1,4
13,New,Enhancement 2,58,55,NA,50,48,NA,45,54,NA,3,5,5,4,5,6,5,5,4,6,6,4,4,5,3,5,3,5,6,4,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,4,3,3,4,5,4,5,3,4,5,3,3,5,4,5,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,3,3,3,5,3,4,5,5,4,5,4,4,6,4,5,5,3,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Standard,,55,66,65,63.27272727,66,39,62,65,37,5,5,5,4,5,6,2,2,5,5,6,5,4,6,6,6,6,5,5,6,6,5,5,6,1,5,6,5,6,7,5,7,7,4,7,5,4,5,5,3,NA,5,6,6,6,6,6,6,6,5,5,3,6,5,6,6,6,6,6,6,1,1,5,5,1,6,3,3,7,1,5,1,1,3,4,5,3,6,5,6,6,6,6,6,6,6,6,2,3,6,6,6,6,6,6,6,6,1,6,5,1,7,3,3,7,1,1,1
15,Standard,Enhancement 1,76,79,79,62.18181818,66,45,61,66,48,7,7,7,6,6,6,6,6,7,6,6,6,6,7,7,6,7,7,4,7,7,7,7,7,7,6,7,6,7,7,4,7,7,7,7,7,6,6,6,5,NA,6,3,3,6,6,5,5,6,6,6,3,6,6,5,5,6,6,5,6,2,2,6,5,2,6,5,3,6,2,3,3,2,6,6,5,3,5,6,3,5,5,6,5,6,6,6,6,4,6,6,5,5,6,6,5,5,2,6,5,2,6,5,5,6,2,5,2
16,Standard,Enhancement 1,77,79,70,58.90909091,58.90909091,40,57.6,57.81818182,40,6,6,7,7,7,7,7,6,7,3,7,7,6,7,7,6,7,7,5,7,7,6,7,7,6,6,7,5,5,7,4,6,6,6,6,6,NA,6,5,2,4,5,6,5,5,6,4,6,NA,6,5,2,5,5,5,5,5,5,5,6,1,2,5,6,3,6,2,1,5,3,4,2,2,NA,NA,5,2,5,5,5,5,5,5,5,6,NA,6,5,2,5,5,5,5,5,5,5,5,2,5,5,3,5,2,3,5,2,4,2
17,New,Enhancement 1,39,53,NA,35,45.81818182,NA,37.09090909,47,NA,1,3,7,1,5,1,5,5,7,2,1,1,7,6,6,2,6,3,2,2,1,6,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,5,2,1,2,5,5,2,2,2,2,6,5,3,2,4,5,5,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,5,3,2,2,2,3,2,6,3,6,4,2,2,6,2,2,6,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Standard,Enhancement 2,82,80,76,64,62,40,61,53,42,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,2,7,7,4,7,7,6,5,6,NA,5,6,4,6,NA,NA,4,6,6,6,6,2,4,6,5,6,4,6,5,6,2,4,4,4,4,6,4,2,4,2,2,2,2,6,6,6,2,4,6,4,6,6,4,5,6,6,6,2,2,3,5,4,6,4,6,4,5,4,4,4,2,6,4,2,4,4,4,2
19,Standard,,73,65,63,46,48,51,42,46,59,7,5,7,5,6,6,7,7,7,2,7,7,1,6,7,6,6,4,4,4,6,7,7,7,4,5,6,4,6,4,2,4,7,7,7,7,4,3,5,2,1,5,4,4,5,5,4,4,4,4,5,1,1,5,4,5,6,5,4,4,2,4,5,7,7,5,5,3,2,3,4,4,6,2,2,5,1,1,5,4,4,5,5,4,4,3,3,5,1,1,6,4,5,5,5,4,4,6,5,7,7,5,5,5,2,3,4,4
20,New,,71,72,61,65,63.27272727,38,63,70,37,6,6,6,6,6,6,6,7,6,4,6,6,6,6,7,6,6,7,4,6,6,6,6,6,4,5,7,4,5,7,4,5,5,4,5,6,6,4,6,4,6,7,4,5,6,6,5,6,NA,5,6,4,6,6,6,5,6,6,6,2,2,2,6,5,2,7,1,3,6,1,1,2,1,6,4,6,4,6,6,4,5,6,6,5,5,6,6,6,4,6,6,6,6,6,6,6,6,2,6,5,2,6,2,2,5,2,2,2
21,Standard,Enhancement 2,74,84,75,58.90909091,67.2,50,57.6,67,47,4,6,5,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,4,7,7,5,6,7,5,7,7,NA,6,5,3,6,5,6,4,6,4,5,4,NA,NA,6,2,6,6,6,6,6,6,6,6,1,4,6,4,1,6,4,6,6,2,6,4,4,NA,4,6,4,NA,4,5,4,6,4,6,5,6,6,6,2,6,5,6,6,6,6,6,6,3,3,4,3,6,4,4,4,3,4,5
22,New,,78,69,NA,41,36,NA,43,38,NA,5,6,7,7,6,7,7,6,7,7,7,6,5,7,6,4,7,6,5,6,5,4,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,3,1,4,1,3,4,4,6,3,3,4,5,1,1,3,1,4,2,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,3,1,2,1,3,3,4,6,4,4,4,3,1,1,3,2,3,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Standard,,72,78,80,58.66666667,55.63636364,24,56,58,31,7,7,7,7,7,5,7,4,7,4,5,5,7,7,7,7,7,7,1,7,7,7,7,7,7,7,6,7,7,6,5,7,7,7,7,7,6,6,6,6,NA,5,NA,3,2,5,NA,5,3,5,6,5,6,4,6,4,3,4,NA,5,2,2,1,2,1,1,1,5,2,2,3,2,2,6,6,7,6,1,NA,NA,2,4,6,NA,4,3,5,7,5,6,4,6,4,3,4,6,5,2,2,4,2,3,2,4,2,3,2,3
24,Standard,,79,78,77,67.63636364,66,37,67,66,38,7,6,7,6,7,7,7,6,7,6,7,6,6,6,6,7,7,7,5,7,7,6,7,7,6,5,7,6,7,7,4,7,7,7,7,7,NA,6,7,4,6,6,6,6,3,6,6,6,6,6,6,4,6,6,6,6,3,6,5,6,1,3,7,4,1,7,3,2,3,2,2,2,2,6,6,6,4,6,6,6,6,4,6,5,6,6,5,6,5,6,6,6,6,3,6,5,6,3,6,4,2,6,2,3,3,2,3,2
25,New,,42,49,NA,46,51,NA,45,48,NA,4,3,3,3,5,2,4,2,4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,3,4,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Standard,Enhancement 1,54,56,55,36,39,59,42,43,53,4,2,7,5,5,3,6,4,6,2,6,4,5,6,5,4,4,4,3,4,6,6,5,4,3,5,5,5,7,3,3,3,6,6,6,3,4,3,3,3,2,4,1,2,4,3,3,4,4,3,4,4,2,4,2,2,4,4,3,3,4,6,4,4,6,4,6,5,4,6,5,5,4,4,4,3,4,3,4,3,2,4,4,3,4,4,5,4,3,2,4,3,3,4,4,3,4,5,4,4,5,4,5,4,4,5,5,4
27,Standard,,84,79,82,42.54545455,39,22,39,41,22,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,4,7,7,6,7,7,7,7,6,7,7,7,7,7,7,6,7,3,6,2,NA,2,6,2,6,6,2,2,2,2,3,2,6,2,2,3,2,6,2,6,3,2,2,1,1,2,2,3,1,2,3,1,2,2,2,1,6,6,2,2,2,2,6,2,6,2,2,6,2,6,2,2,2,2,6,2,3,6,1,2,3,2,1,2,2,1,3,2,1
28,Standard,Enhancement 1,77,73,67,60,57,43,60,55,46,6,6,7,6,6,6,7,7,7,6,7,6,6,6,7,6,6,7,6,6,6,6,6,5,5,5,7,5,6,6,5,6,6,6,6,4,5,5,4,6,6,4,4,5,6,5,6,4,5,5,4,5,3,5,5,4,6,5,6,4,3,4,4,2,2,5,4,4,5,4,2,4,3,5,5,4,6,6,4,4,5,6,5,6,4,5,5,4,5,3,5,4,5,6,4,5,4,4,4,2,5,5,4,3,5,4,3,4
29,Standard,Enhancement 2,61.09090909,45,64,30,46,55,33,35,57,5,3,6,NA,6,6,6,6,6,3,5,4,4,4,4,4,4,4,1,4,4,4,4,4,6,6,6,4,6,4,2,6,6,6,6,6,2,2,2,3,1,3,2,3,4,4,2,2,3,3,4,6,1,2,6,5,6,5,3,2,5,5,3,5,5,4,5,5,4,4,5,5,6,3,2,2,6,1,3,2,3,3,3,3,2,3,4,2,3,1,2,4,4,4,3,2,3,5,3,5,5,4,5,5,4,5,5,5
30,New,Enhancement 1,78,75,81,62,61.09090909,42,63,64.36363636,48,4,7,7,7,7,7,7,7,7,4,7,7,5,7,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,5,6,6,5,5,6,4,6,5,5,4,6,4,6,5,5,3,NA,5,6,6,6,2,6,6,2,2,4,3,2,4,4,3,4,4,5,5,2,5,6,3,5,6,3,6,6,6,6,6,5,NA,5,5,6,6,5,5,6,6,3,6,6,3,4,4,3,5,4,4,5,5,4,5
31,Standard,Enhancement 2,63,68,63,41,40,57,42,38,59,6,4,6,6,6,5,5,5,6,4,5,5,7,6,6,6,5,6,3,5,6,6,6,6,7,6,6,5,4,6,4,5,5,5,5,5,4,3,4,1,3,5,4,4,3,3,3,4,3,2,4,3,3,4,3,3,3,2,6,4,5,5,5,4,5,5,5,5,4,4,5,5,5,3,4,5,1,3,6,3,4,3,3,3,4,2,2,5,4,3,6,2,3,3,3,2,3,5,6,4,5,6,5,4,4,5,5,5
32,Standard,Enhancement 2,84,84,78,55,62,44,52,67,43,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,5,6,6,7,7,7,6,4,5,4,5,5,4,4,4,4,5,5,6,6,5,4,6,5,4,6,5,5,5,5,3,3,5,4,3,5,5,3,4,3,3,3,3,6,5,4,4,4,4,4,4,4,4,5,4,6,6,5,4,6,5,6,6,5,6,6,6,3,5,4,3,5,4,3,4,3,3,3
33,Standard,Enhancement 2,70,68,75,38,37,54,38,37,51,7,6,7,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,7,7,7,7,7,1,5,7,7,7,7,2,2,5,2,3,2,6,2,5,5,2,2,2,2,5,2,6,2,2,2,5,5,2,2,6,6,3,7,4,2,5,3,2,2,7,7,6,2,2,5,2,3,2,6,2,5,5,2,2,2,2,5,2,6,2,2,2,5,5,2,2,6,2,7,5,3,4,3,3,2,7,3
34,Standard,,76,80,80,48,47,53,47,47,52,7,7,7,7,7,3,7,7,7,3,7,7,7,7,7,7,7,6,4,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,6,4,5,4,3,5,3,3,4,5,3,3,3,4,5,4,3,5,4,4,4,5,3,3,4,4,5,4,5,4,5,5,4,4,5,4,4,6,5,5,4,2,5,3,2,4,5,3,3,3,4,5,4,3,5,4,4,4,5,3,3,4,5,4,5,4,5,4,4,4,5,4
35,New,,58,60,55,27,29.45454545,61,28,28,67,6,6,7,2,7,1,7,7,7,1,6,1,5,7,6,4,7,2,1,2,6,7,7,6,4,6,6,7,7,2,1,3,3,4,7,5,5,3,3,3,1,2,1,2,4,1,1,1,3,5,4,4,1,NA,1,1,4,2,1,1,4,5,3,4,7,2,7,6,4,5,7,7,6,3,5,2,4,1,3,1,1,5,1,1,1,3,3,4,5,1,3,1,1,4,1,1,1,5,4,4,7,4,7,7,4,5,7,7
36,New,Enhancement 2,57,56,68,51,50,45,51,47,50,5,4,7,5,5,3,7,5,5,3,4,4,4,5,5,4,4,4,5,4,5,5,6,5,6,6,7,6,6,3,5,6,6,6,6,5,5,4,3,5,4,4,4,4,5,4,4,5,4,4,4,5,4,5,4,3,5,4,4,4,2,3,5,4,2,5,4,5,4,4,4,3,4,5,4,3,4,4,4,5,4,5,4,5,4,4,4,3,4,4,5,4,3,5,4,3,4,5,5,4,3,4,4,4,4,5,4,4
37,New,Enhancement 1,64.36363636,51,NA,28,34,NA,26.18181818,31.2,NA,4,7,4,5,6,5,4,5,7,7,NA,5,3,6,6,6,6,1,1,4,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,3,NA,4,1,2,1,1,1,6,4,3,5,6,2,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,5,4,2,1,1,3,1,1,1,5,4,NA,5,3,NA,1,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Standard,,80,80,NA,54,50,NA,54,50,NA,7,6,7,6,7,7,7,7,7,5,7,7,7,7,7,6,7,7,4,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,2,6,4,3,2,5,6,5,5,4,6,3,3,6,5,3,2,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,3,2,6,4,3,2,5,6,5,5,4,6,3,3,6,5,3,2,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
