id,intervention,intervention_subtype,dv1_pre_sum_score,dv1_post_sum_score,dv1_followup_sum_score,dv2_pre_sum_score,dv2_post_sum_score,dv2_followup_sum_score,dv3_pre_sum_score,dv3_post_sum_score,dv3_followup_sum_score,dv1_pre_1,dv1_pre_2,dv1_pre_3,dv1_pre_4,dv1_pre_5,dv1_pre_6,dv1_pre_7,dv1_pre_8,dv1_pre_9,dv1_pre_10,dv1_pre_11,dv1_pre_12,dv1_post_1,dv1_post_2,dv1_post_3,dv1_post_4,dv1_post_5,dv1_post_6,dv1_post_7,dv1_post_8,dv1_post_9,dv1_post_10,dv1_post_11,dv1_post_12,dv1_followup_1,dv1_followup_2,dv1_followup_3,dv1_followup_4,dv1_followup_5,dv1_followup_6,dv1_followup_7,dv1_followup_8,dv1_followup_9,dv1_followup_10,dv1_followup_11,dv1_followup_12,dv2_pre_1,dv2_pre_2,dv2_pre_3,dv2_pre_4,dv2_pre_5,dv2_pre_6,dv2_pre_7,dv2_pre_8,dv2_pre_9,dv2_pre_10,dv2_pre_11,dv2_pre_12,dv2_post_1,dv2_post_2,dv2_post_3,dv2_post_4,dv2_post_5,dv2_post_6,dv2_post_7,dv2_post_8,dv2_post_9,dv2_post_10,dv2_post_11,dv2_post_12,dv2_followup_1,dv2_followup_2,dv2_followup_3,dv2_followup_4,dv2_followup_5,dv2_followup_6,dv2_followup_7,dv2_followup_8,dv2_followup_9,dv2_followup_10,dv2_followup_11,dv2_followup_12,dv3_followup_1,dv3_pre_1,dv3_pre_2,dv3_pre_3,dv3_pre_4,dv3_pre_5,dv3_pre_6,dv3_pre_7,dv3_pre_8,dv3_pre_9,dv3_pre_10,dv3_pre_11,dv3_pre_12,dv3_post_1,dv3_post_2,dv3_post_3,dv3_post_4,dv3_post_5,dv3_post_6,dv3_post_7,dv3_post_8,dv3_post_9,dv3_post_10,dv3_post_11,dv3_post_12,dv3_followup_2,dv3_followup_3,dv3_followup_4,dv3_followup_5,dv3_followup_6,dv3_followup_7,dv3_followup_8,dv3_followup_9,dv3_followup_10,dv3_followup_11,dv3_followup_12
83,Standard,Enhancement 1,48,48,NA,33,27,NA,27,25,NA,4,3,6,2,4,4,5,4,4,4,4,4,3,5,5,5,3,3,4,4,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,1,3,4,3,1,4,1,3,1,6,2,2,1,2,2,2,1,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,1,3,2,2,1,4,1,1,1,6,2,2,1,1,2,2,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Standard,Enhancement 1,81,77,NA,46.66666667,50.18181818,NA,43.63636364,43.2,NA,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,3,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,NA,3,4,4,2,5,3,NA,NA,6,4,3,6,4,4,4,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,6,2,4,2,3,3,3,3,NA,NA,4,3,5,4,3,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Standard,Enhancement 2,60,64,67,57,51.27272727,52,56.72727273,56.72727273,57,1,5,5,7,6,6,4,5,6,5,5,5,6,7,6,5,6,5,5,6,6,4,5,3,5,5,6,5,6,7,5,5,6,6,5,6,6,4,6,4,2,7,3,3,6,5,5,6,NA,3,6,4,1,6,3,3,6,5,5,5,3,4,6,5,7,5,5,5,6,2,2,2,3,NA,6,6,4,2,6,4,3,6,5,5,5,NA,4,6,4,1,6,4,5,6,5,5,6,5,6,7,7,5,5,5,6,3,2,3
86,New,Enhancement 1,56,68,58,32,35,49,36,35,49,5,5,5,3,6,4,3,5,5,4,5,6,6,6,7,3,6,4,7,7,7,5,5,5,3,5,5,5,7,4,3,5,5,5,6,5,6,3,2,2,2,3,2,2,2,2,4,2,6,3,3,2,2,3,2,2,3,2,4,3,5,5,2,2,6,3,5,6,3,5,4,3,5,5,5,2,2,2,3,3,2,3,2,4,3,6,3,3,2,2,3,2,2,3,2,4,3,5,3,2,5,3,5,5,3,6,4,3
87,New,Enhancement 1,54,54,54,48,51,55,48,49,50,5,5,4,3,5,5,4,4,5,4,5,5,5,5,6,3,5,3,6,5,5,3,5,3,5,5,5,3,5,4,4,5,4,4,5,5,6,3,3,3,3,5,3,3,6,4,5,4,5,4,5,3,3,4,3,4,6,5,5,4,4,5,4,5,5,5,5,5,6,4,3,4,4,5,5,3,3,3,3,4,3,5,4,5,5,5,4,4,3,3,4,4,3,6,4,5,4,3,4,5,5,4,4,5,6,4,3,3
88,New,,75,78,62,60,55.63636364,39,66,60,43,7,7,7,6,6,7,1,7,7,7,7,6,7,7,7,7,7,7,7,6,6,7,5,5,5,6,7,4,7,7,2,6,6,3,4,5,3,5,5,6,4,7,5,6,4,4,NA,6,3,4,7,5,3,7,4,4,3,6,NA,5,4,4,5,3,2,5,4,2,4,3,1,2,3,3,3,7,6,4,7,6,6,7,NA,NA,6,4,3,7,5,4,7,4,6,5,NA,NA,5,5,7,3,4,6,2,2,5,2,1,3
89,New,,52,47,32,42,50,40,46,49,38,5,4,5,2,4,4,3,4,5,6,6,4,3,4,5,5,5,3,5,3,5,1,4,4,2,3,3,3,2,2,3,3,3,2,3,3,5,3,3,1,2,3,4,4,4,4,5,4,5,5,3,5,3,3,4,4,3,5,5,5,3,3,3,5,3,3,3,3,3,3,3,5,3,5,5,3,2,2,3,4,4,4,4,5,5,5,5,3,5,3,3,4,4,4,4,4,5,3,3,3,5,3,3,3,3,3,3,3
90,Standard,,60,51,66,39,40,59,46.90909091,41.45454545,55,7,6,6,4,4,5,1,5,7,7,7,1,5,2,7,6,5,2,6,5,4,2,5,2,7,6,6,7,6,5,1,5,5,7,7,4,4,4,4,3,1,2,3,2,5,2,6,3,3,3,4,3,1,2,4,3,4,3,6,4,5,6,5,5,7,4,4,5,5,6,1,6,3,6,NA,3,5,1,3,4,4,5,2,6,4,NA,5,2,6,1,2,3,3,4,3,6,3,3,4,6,7,4,5,6,5,6,1,5
91,New,,78,84,NA,66,67,NA,67,65,NA,5,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,6,6,4,6,6,6,6,5,6,6,6,4,6,6,4,6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,5,6,6,6,5,5,6,6,6,2,6,6,4,6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,New,Enhancement 1,80,81,78,54,52.8,49,52,45.6,49,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,6,2,7,7,7,7,7,6,3,5,4,6,5,4,3,5,6,3,4,NA,3,6,4,NA,6,4,3,6,6,2,4,5,7,5,4,1,5,4,6,2,2,6,2,4,6,2,5,4,6,5,4,3,5,5,3,4,NA,2,6,4,NA,6,4,2,2,6,2,4,5,4,4,1,5,4,6,6,2,6,2
93,Standard,Enhancement 2,80,83,80,59,58,41,58,57,44,5,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,5,7,7,7,7,7,5,5,6,4,3,5,5,6,4,6,5,5,4,5,6,4,3,5,5,5,4,6,5,6,2,2,6,4,5,5,3,3,4,2,2,3,3,4,5,6,4,3,6,5,5,4,5,5,6,4,5,6,4,3,6,5,5,4,5,5,5,3,6,4,5,5,4,3,4,3,2,2
94,New,Enhancement 1,38,52,39,20.72727273,24,66,26,36,58,1,4,4,1,5,3,2,4,4,4,4,2,4,4,5,6,5,1,6,4,5,3,5,4,4,4,3,1,4,4,2,3,2,4,4,4,2,2,3,2,1,4,1,1,NA,1,1,1,1,1,4,2,2,4,1,1,2,3,2,1,6,6,2,7,5,2,7,7,3,7,7,7,4,3,2,2,2,2,3,1,1,3,2,1,4,3,1,7,3,4,4,3,2,4,2,1,2,7,1,6,6,2,6,5,4,6,7,4
95,New,Enhancement 2,48,49,51,35,36,54,35,36,55,4,5,5,4,5,3,3,4,3,4,4,4,2,5,5,4,4,3,4,5,5,4,4,4,5,5,5,4,5,4,3,4,4,4,4,4,4,3,3,3,3,3,1,3,4,3,3,2,3,4,3,3,3,3,1,3,3,4,3,3,5,5,3,5,5,3,5,5,4,4,4,6,5,4,3,3,3,3,3,1,3,4,3,3,2,3,4,3,3,3,3,1,3,3,4,3,3,5,3,5,5,3,5,5,5,5,4,5
96,New,,54,47,34.90909091,56,55,54,48,48,41,3,6,5,4,5,5,4,4,4,4,5,5,5,5,3,4,5,4,4,2,3,4,5,3,2,2,NA,3,4,4,1,4,1,3,5,3,6,5,5,6,3,4,4,5,4,4,6,4,4,5,5,5,4,4,6,3,4,4,6,5,4,5,3,5,5,5,3,5,5,6,3,5,3,3,4,3,5,3,3,4,4,4,4,6,5,4,4,3,4,5,3,4,5,2,5,4,5,5,2,2,5,3,4,4,3,4,3,3
97,Standard,Enhancement 2,68,68,65,46,47,51,49,48,50,6,6,6,5,6,6,4,5,6,6,6,6,6,5,6,6,6,6,6,6,6,3,6,6,6,5,6,5,6,5,4,5,5,6,6,6,3,3,5,4,3,5,3,3,5,4,4,4,3,3,5,4,4,5,3,3,5,4,4,4,5,5,5,2,4,5,4,4,5,4,4,4,4,4,5,5,4,3,5,3,3,5,4,4,4,4,3,5,4,4,5,3,3,5,4,4,4,5,5,2,4,5,4,4,5,4,4,4
98,New,Enhancement 1,78,66,78,37.33333333,38.66666667,48,36,38.66666667,55,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,7,7,7,7,7,4,7,7,4,7,7,NA,NA,4,1,1,4,3,4,3,4,NA,4,NA,NA,4,1,1,4,1,4,4,5,NA,5,1,1,1,7,5,1,6,4,7,4,7,4,1,NA,NA,4,1,1,4,3,4,3,3,NA,4,NA,NA,4,1,1,4,1,4,4,5,NA,5,1,2,7,6,2,6,5,7,6,6,6
99,Standard,Enhancement 1,40,54,58,53,53,53,44,52,57,5,4,5,2,4,3,2,3,1,4,5,2,4,4,5,5,6,3,4,5,4,6,4,4,5,5,5,4,5,5,5,4,5,5,6,4,3,4,4,6,5,5,3,5,6,4,5,3,3,6,4,5,3,6,2,5,5,5,5,4,4,3,5,4,5,5,5,5,4,5,3,5,3,2,4,3,4,5,4,3,3,4,5,4,3,5,5,5,4,5,5,3,4,5,3,5,3,5,6,3,3,6,5,5,7,5,4,5
100,Standard,Enhancement 2,48,48,48,43,44,53,45,44,52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,3,3,4,4,4,3,4,4,3,4,3,4,4,4,5,4,4,5,4,5,5,4,4,4,5,4,3,5,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,4,3,4,3,4,4,5,4,4,4,4,5,5,4,4,4,5
101,Standard,Enhancement 2,76,84,NA,56.72727273,56.4,NA,42,61.71428571,NA,6,7,7,6,7,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,6,NA,3,6,5,3,5,5,5,6,6,3,NA,NA,2,6,5,2,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,6,NA,2,NA,4,2,3,4,5,5,6,4,NA,NA,NA,NA,4,NA,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,New,Enhancement 2,33,26,NA,41,52,NA,33,38,NA,4,4,5,1,1,4,1,1,4,3,4,1,1,1,1,4,4,1,3,3,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,1,4,3,1,4,5,3,4,6,6,3,6,5,3,2,5,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,6,2,4,1,1,5,1,1,1,2,3,3,4,4,4,3,1,6,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,New,Enhancement 2,54,51,NA,42,57,NA,51,38,NA,3,4,5,6,6,4,5,5,3,5,3,5,5,4,7,1,6,1,3,7,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,3,3,3,2,3,3,5,3,5,5,6,4,5,6,6,3,7,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,5,5,3,3,3,5,3,4,1,4,5,2,4,4,3,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,New,Enhancement 2,52,59,61,38,47,59,39,45,58,4,7,6,3,4,4,1,4,6,4,4,5,4,4,7,4,6,3,7,6,6,2,6,4,4,7,7,4,6,4,4,4,7,4,6,4,4,3,5,2,2,3,2,2,6,4,3,2,4,4,5,4,3,4,3,3,6,4,3,4,4,4,3,6,6,4,6,6,6,4,5,5,4,4,3,4,2,2,4,2,2,6,4,3,3,4,4,4,3,3,4,3,3,6,4,3,4,4,2,6,6,3,6,6,6,4,6,5
105,New,Enhancement 2,73,79,79,57,63.27272727,44,67.63636364,61.5,40,5,7,7,5,7,6,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,5,7,7,5,6,7,7,7,7,5,5,5,6,6,5,3,5,3,5,4,5,5,6,5,NA,6,5,5,5,5,6,4,6,3,3,6,3,3,6,4,3,6,2,3,2,1,6,6,6,6,6,5,6,6,5,6,4,NA,NA,4,5,NA,6,5,NA,6,4,6,5,NA,5,6,3,3,6,1,2,6,2,3,2
106,Standard,Enhancement 1,73,81,78,45.6,57,44,51.6,51.6,46,7,6,7,4,7,5,3,6,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,3,6,7,7,7,7,6,4,2,5,3,3,4,NA,NA,4,3,4,6,6,4,4,5,4,5,6,4,4,5,4,2,4,4,3,2,3,4,6,2,4,6,4,2,6,4,2,5,3,3,4,NA,NA,5,6,5,NA,NA,2,6,4,4,5,4,3,6,5,4,4,2,4,6,4,3,5,2,4,6,4
107,New,,69,72,71,55.63636364,59,43,56,61,43,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,NA,5,4,5,5,5,4,5,5,3,5,5,6,4,4,5,6,6,4,6,4,4,3,3,5,4,4,5,3,2,4,3,3,4,3,5,5,5,5,4,5,5,5,4,6,4,3,6,6,6,4,4,5,6,6,4,6,4,4,3,5,4,4,5,3,2,4,3,3,4
108,New,,71,72,72,63,67,38,67.63636364,68,34,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,6,6,6,6,6,6,5,4,5,6,6,4,6,6,4,5,6,6,6,5,5,6,6,4,6,6,5,6,6,6,2,3,6,4,2,5,2,2,5,2,2,3,2,6,6,5,6,6,4,NA,6,5,6,6,6,6,6,5,6,6,4,6,6,5,6,6,6,3,5,1,2,4,2,2,5,3,2,3
109,New,Enhancement 2,69,78,NA,53,60,49,54,57,50,3,1,7,7,7,7,5,7,6,6,7,6,7,6,7,6,7,3,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,4,6,6,2,3,6,4,5,3,4,4,6,4,5,6,5,4,6,6,5,5,4,3,7,2,2,6,5,4,7,4,3,2,4,4,4,6,4,5,6,4,4,4,3,5,5,4,4,5,4,5,5,6,5,4,6,4,5,3,6,5,4,6,3,5,4,3,4,3
110,New,Enhancement 2,81,83,81,62.66666667,57.33333333,37,62.66666667,57.33333333,34,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,4,7,7,7,7,7,5,4,5,5,NA,5,6,6,7,NA,NA,4,NA,4,4,5,NA,4,3,6,7,6,NA,4,2,2,1,2,2,4,4,3,6,3,4,4,2,5,4,5,5,NA,5,6,6,7,NA,NA,4,NA,4,4,5,NA,4,3,6,7,6,NA,4,2,1,2,1,4,3,2,6,4,4,3
111,New,Enhancement 1,79,81,75,55,63,48,53,64,48,7,6,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,6,7,5,6,7,4,6,7,6,7,7,4,3,6,3,5,6,4,4,6,5,5,4,4,3,6,6,6,7,4,5,7,6,5,4,2,5,6,4,4,6,4,3,6,2,3,3,2,4,3,6,3,5,6,4,4,5,6,3,4,4,3,7,6,6,7,4,5,7,6,5,4,5,6,4,4,6,4,3,6,2,3,3
112,Standard,,71,62,67,46,43.63636364,55,38,41,52,1,7,7,7,6,5,5,7,7,6,6,7,5,6,2,6,7,7,7,6,3,1,6,6,4,4,7,6,6,7,6,7,5,6,4,5,4,5,5,2,4,4,3,4,5,5,3,2,4,5,6,3,4,NA,4,3,6,3,1,1,3,6,4,7,3,4,6,4,4,2,6,6,4,2,2,6,3,2,6,3,4,3,2,2,3,5,3,7,3,3,6,1,2,7,2,1,1,5,3,5,5,5,4,4,5,4,4,4
113,New,,69,76,60,59,59,38,58,60,37.09090909,7,6,7,4,6,7,1,5,7,5,7,7,7,7,7,7,7,5,7,7,7,1,7,7,4,4,6,6,6,7,2,4,6,4,7,4,6,4,5,4,4,5,4,6,5,6,4,6,6,6,5,3,4,5,4,6,5,5,4,6,2,2,5,4,4,5,2,2,4,2,4,2,2,6,4,5,4,4,5,4,6,4,6,4,6,6,5,5,4,4,5,4,6,5,6,4,6,2,NA,5,4,5,2,2,4,2,4,2
114,New,Enhancement 1,35,54,61,26.4,28,60,26.4,28,65,1,4,4,1,4,2,2,2,3,4,4,4,4,3,6,5,4,3,6,5,5,1,6,6,7,7,7,3,6,1,1,4,7,4,7,7,3,4,NA,4,2,NA,2,1,3,1,1,1,2,6,NA,NA,1,NA,1,1,7,1,1,1,6,6,1,6,7,1,2,6,5,6,7,7,7,3,4,NA,4,2,NA,2,1,3,1,1,1,2,6,NA,NA,1,NA,1,1,7,1,1,1,4,1,7,7,1,6,7,6,6,7,6
115,Standard,,69,68,68,48,53,61,51,52,65,5,6,6,6,6,6,4,6,6,6,6,6,4,2,7,7,7,6,7,7,7,1,7,6,6,6,4,5,7,7,3,5,6,7,7,5,3,3,5,5,2,6,2,3,7,4,4,4,3,3,6,4,3,7,3,3,7,6,4,4,5,3,5,5,5,6,6,6,7,5,3,5,5,5,4,3,5,2,6,4,3,7,4,4,4,4,3,6,4,3,6,3,5,7,4,4,3,6,5,5,6,5,5,6,7,5,5,5
116,Standard,,75,82,74,57.6,60,50,57.6,58.8,50,4,7,7,7,7,7,5,6,7,4,7,7,7,6,7,7,7,7,7,6,7,7,7,7,6,7,7,4,7,7,2,6,7,7,7,7,4,2,7,3,6,7,3,6,4,NA,6,NA,5,3,7,3,NA,7,4,NA,5,6,5,NA,2,2,6,6,2,6,6,3,6,3,6,2,2,4,2,7,3,6,7,3,6,4,NA,6,NA,6,3,NA,3,NA,7,4,5,4,6,6,5,2,6,5,2,6,5,5,6,3,5,3
117,New,Enhancement 1,47,51,50,41,36,50,40,36,62.18181818,4,4,4,3,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6,3,4,4,3,4,1,2,5,2,3,4,3,4,4,2,3,3,1,4,2,3,4,3,2,4,5,4,3,6,6,7,4,2,4,3,7,1,3,5,3,4,2,1,4,5,4,6,2,1,3,5,4,3,2,1,NA,4,3,4,3,NA,6,4,3,6,7,7,5,2,4,6
118,New,Enhancement 1,45,47,47,38,52,47,40,47,48,3,4,3,4,4,5,5,3,4,5,3,2,3,4,4,4,3,5,3,3,5,4,4,5,5,4,5,3,3,4,3,5,4,3,4,4,3,3,3,5,2,2,3,5,3,5,1,3,4,4,5,5,4,5,4,5,4,3,4,5,3,3,4,5,4,3,4,5,4,3,4,5,5,3,3,3,5,5,3,4,3,3,4,1,3,3,4,5,5,4,5,3,4,3,4,3,4,4,3,4,5,4,3,4,5,4,3,4
119,Standard,,79,84,79,62.18181818,67,38,65,68,36,4,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,7,5,7,7,7,7,7,NA,4,6,6,3,6,6,6,3,6,5,6,6,5,6,6,4,6,6,6,4,6,6,6,2,2,6,2,5,6,3,2,4,2,2,2,2,6,6,6,6,3,6,6,6,3,6,5,6,6,6,6,6,4,6,6,6,4,6,6,6,2,6,1,5,6,2,2,4,2,2,2
120,New,,70,84,NA,64,61,NA,64,63,NA,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,6,6,6,6,6,6,6,4,4,4,4,6,6,6,6,5,4,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,6,6,6,6,6,6,6,4,4,4,4,6,6,6,6,5,6,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Standard,Enhancement 2,62,61,59,56,54,51,55,48,52,4,4,6,6,6,5,4,6,5,5,6,5,6,4,5,5,6,5,5,5,6,4,5,5,1,4,7,7,4,7,4,4,4,6,6,5,6,4,3,4,6,5,5,6,5,3,4,5,6,5,4,4,6,5,4,4,6,4,3,3,4,5,6,4,3,5,7,4,4,2,4,3,4,6,3,4,5,6,5,6,3,5,3,4,5,6,5,4,3,3,6,4,5,3,3,3,3,5,7,4,3,6,7,3,4,2,4,3
122,New,Enhancement 2,68,72,NA,55.2,46.66666667,NA,40.8,42.66666667,NA,7,7,1,3,7,7,1,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,7,6,3,7,5,6,NA,NA,1,2,4,3,5,3,2,7,NA,6,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,4,3,7,3,2,NA,NA,1,2,2,2,7,NA,4,7,1,3,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,New,,60,58,39,40.36363636,42.54545455,61,36,43,56.72727273,5,7,4,3,7,3,4,7,7,5,5,3,7,5,6,2,7,7,4,6,3,2,2,7,3,2,4,4,1,6,1,2,1,4,4,7,3,2,7,4,2,4,3,1,NA,4,5,2,3,3,6,3,4,6,3,4,3,1,NA,3,6,6,6,6,6,6,4,3,6,7,1,4,3,2,3,2,1,2,6,3,5,7,2,2,1,4,1,2,4,6,6,1,3,5,1,4,6,4,6,6,3,7,4,5,3,4,7,NA
124,Standard,Enhancement 2,51,65,65,55.63636364,57.6,43,50.18181818,66,37,7,4,4,5,5,5,2,4,3,2,5,5,4,6,7,5,3,7,4,7,6,4,6,6,6,5,5,7,7,6,2,7,6,6,4,4,3,4,3,6,5,2,6,6,4,6,6,NA,4,6,NA,NA,NA,6,NA,NA,4,NA,NA,4,7,7,7,1,2,6,3,2,2,2,2,2,6,4,5,6,NA,6,6,3,3,3,2,2,6,6,6,NA,6,6,5,6,NA,4,NA,5,NA,5,2,2,2,5,2,5,2,2,2,2
125,Standard,Enhancement 2,49,41,42,34.90909091,55,60,44,44,59,4,4,5,4,4,3,3,4,6,3,5,4,4,3,3,3,2,5,3,3,3,5,4,3,4,3,4,4,5,3,3,3,1,4,4,4,6,4,5,3,1,NA,1,1,4,1,4,2,6,4,5,5,4,4,3,5,5,5,4,5,5,6,3,4,7,4,4,7,4,7,4,5,4,6,5,4,3,1,4,4,1,4,4,6,2,3,4,3,3,4,3,3,5,4,5,3,4,6,4,4,7,4,7,6,4,4,4,5
